Change Component Comment : Designator=HL1 Old Comment=LED New Comment=Светодиод SMD KP-2012
Change Component Comment : Designator=C11 Old Comment=Конденсатор керамич. 50 В 0.15 пФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 0.1 мкФ Ом, ±10%, X7R SMD 0805
Change Component Comment : Designator=C16 Old Comment=Конденсатор керамич. 50 В 0.15 пФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 0.1 мкФ Ом, ±10%, X7R SMD 0805
Change Component Comment : Designator=C14 Old Comment=Конденсатор керамич. 50 В 0.15 пФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 0.3 пФ Ом, +0.25pF, X5R SMD 0805
Change Component Comment : Designator=C15 Old Comment=Конденсатор керамич. 50 В 0.15 пФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 0.3 пФ Ом, +0.25pF, X5R SMD 0805
Change Component Comment : Designator=C3 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C5 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C6 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C24 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C25 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C26 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C31 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C32 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C33 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=C34 Old Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X7R SMD 0805 New Comment=Конденсатор керамич. 50 В 10 мкФ Ом, ±10%, X5R SMD 0805
Change Component Comment : Designator=R4 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 1k Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R5 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 1k Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R7 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 150 Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R1 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 470 Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R2 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 470 Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R3 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 470 Ом, 5%,  SMD SMD 0805
Change Component Comment : Designator=R6 Old Comment=Чип резистор 0.125Вт ? Ом, 5%, X7R SMD SMD 0805 New Comment=Чип резистор 0.125Вт 470 Ом, 5%,  SMD SMD 0805
Change component parameters: Designator = "C1" ("C1"); Footprint = "TANT CAP D"; UniqueID = "\EIBKMEUY" ("\EIBKMEUY")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Конденсатор электрол."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Foot"; Value = "TANT CAP D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Китай"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerVoltage"; Value = "10 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ProductCode"; Value = "TECAP100/10VD10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100 мкФ"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "CAP0805"; UniqueID = "\FEIOXCGG" ("\FEIOXCGG")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Конденсатор керамич."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Foot"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerVoltage"; Value = "50 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ProductCode"; Value = "GRM21BR71H104K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1 мкФ"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAP0805"; UniqueID = "\VXRTZCOF" ("\VXRTZCOF")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Конденсатор керамич."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Foot"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerVoltage"; Value = "50 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ProductCode"; Value = "GRM21BR61A106KE19B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 мкФ"; VariantName = "[No Variations]"
Change component parameters: Designator = "C4" ("C4"); Footprint = "CAP0805"; UniqueID = "\JEQBJEEK" ("\JEQBJEEK")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Конденсатор керамич."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Foot"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerVoltage"; Value = "50 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ProductCode"; Value = "GRM21BR71H104K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1 мкФ"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP0805"; UniqueID = "\TVTVFFOR" ("\TVTVFFOR")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Конденсатор керамич."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Foot"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerVoltage"; Value = "50 В"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ProductCode"; Value = "GRM21BR61A106KE19B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 мкФ"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAP0805"; UniqueID = "\RNTLCXQB" ("\RNTLCXQB")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±10%"; VariantName = "[No Variations]"
